Indicator,Year,State,County,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Percent,Population
"PrEP coverage and number of persons prescribed","2017","AK","Denali Borough","Denali Borough, AK","02068","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Denali Borough","Denali Borough, AK","02068","25-34","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Denali Borough","Denali Borough, AK","02068","35-44","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Denali Borough","Denali Borough, AK","02068","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Dillingham Census Area","Dillingham Census Area, AK","02070","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Dillingham Census Area","Dillingham Census Area, AK","02070","25-34","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Dillingham Census Area","Dillingham Census Area, AK","02070","35-44","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Dillingham Census Area","Dillingham Census Area, AK","02070","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Fairbanks North Star Borough","Fairbanks North Star Borough, AK","02090","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Fairbanks North Star Borough","Fairbanks North Star Borough, AK","02090","25-34","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Fairbanks North Star Borough","Fairbanks North Star Borough, AK","02090","35-44","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Fairbanks North Star Borough","Fairbanks North Star Borough, AK","02090","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Bristol Bay Borough","Bristol Bay Borough, AK","02060","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Bristol Bay Borough","Bristol Bay Borough, AK","02060","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Bristol Bay Borough","Bristol Bay Borough, AK","02060","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Bristol Bay Borough","Bristol Bay Borough, AK","02060","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Bethel Census Area","Bethel Census Area, AK","02050","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Bethel Census Area","Bethel Census Area, AK","02050","25-34","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Bethel Census Area","Bethel Census Area, AK","02050","35-44","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Bethel Census Area","Bethel Census Area, AK","02050","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Anchorage Municipality","Anchorage Municipality, AK","02020","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Anchorage Municipality","Anchorage Municipality, AK","02020","25-34","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Anchorage Municipality","Anchorage Municipality, AK","02020","35-44","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Anchorage Municipality","Anchorage Municipality, AK","02020","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Juneau City and Borough","Juneau City and Borough, AK","02110","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Juneau City and Borough","Juneau City and Borough, AK","02110","25-34","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Juneau City and Borough","Juneau City and Borough, AK","02110","35-44","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Juneau City and Borough","Juneau City and Borough, AK","02110","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Kenai Peninsula Borough","Kenai Peninsula Borough, AK","02122","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Kenai Peninsula Borough","Kenai Peninsula Borough, AK","02122","25-34","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Kenai Peninsula Borough","Kenai Peninsula Borough, AK","02122","35-44","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Kenai Peninsula Borough","Kenai Peninsula Borough, AK","02122","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Ketchikan Gateway Borough","Ketchikan Gateway Borough, AK","02130","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Ketchikan Gateway Borough","Ketchikan Gateway Borough, AK","02130","25-34","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Ketchikan Gateway Borough","Ketchikan Gateway Borough, AK","02130","35-44","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Ketchikan Gateway Borough","Ketchikan Gateway Borough, AK","02130","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Kodiak Island Borough","Kodiak Island Borough, AK","02150","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Kodiak Island Borough","Kodiak Island Borough, AK","02150","25-34","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Kodiak Island Borough","Kodiak Island Borough, AK","02150","35-44","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Kodiak Island Borough","Kodiak Island Borough, AK","02150","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Lake and Peninsula Borough","Lake and Peninsula Borough, AK","02164","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Lake and Peninsula Borough","Lake and Peninsula Borough, AK","02164","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Lake and Peninsula Borough","Lake and Peninsula Borough, AK","02164","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Lake and Peninsula Borough","Lake and Peninsula Borough, AK","02164","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Matanuska-Susitna Borough","Matanuska-Susitna Borough, AK","02170","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Matanuska-Susitna Borough","Matanuska-Susitna Borough, AK","02170","25-34","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Matanuska-Susitna Borough","Matanuska-Susitna Borough, AK","02170","35-44","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Matanuska-Susitna Borough","Matanuska-Susitna Borough, AK","02170","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Aleutians East Borough","Aleutians East Borough, AK","02013","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Aleutians East Borough","Aleutians East Borough, AK","02013","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Aleutians East Borough","Aleutians East Borough, AK","02013","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Aleutians East Borough","Aleutians East Borough, AK","02013","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Aleutians West Census Area","Aleutians West Census Area, AK","02016","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Aleutians West Census Area","Aleutians West Census Area, AK","02016","25-34","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Aleutians West Census Area","Aleutians West Census Area, AK","02016","35-44","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Aleutians West Census Area","Aleutians West Census Area, AK","02016","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Kusilvak Census Area","Kusilvak Census Area, AK","02158","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Kusilvak Census Area","Kusilvak Census Area, AK","02158","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Kusilvak Census Area","Kusilvak Census Area, AK","02158","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Kusilvak Census Area","Kusilvak Census Area, AK","02158","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Nome Census Area","Nome Census Area, AK","02180","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Nome Census Area","Nome Census Area, AK","02180","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Nome Census Area","Nome Census Area, AK","02180","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Nome Census Area","Nome Census Area, AK","02180","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","North Slope Borough","North Slope Borough, AK","02185","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","North Slope Borough","North Slope Borough, AK","02185","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","North Slope Borough","North Slope Borough, AK","02185","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","North Slope Borough","North Slope Borough, AK","02185","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Northwest Arctic Borough","Northwest Arctic Borough, AK","02188","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Northwest Arctic Borough","Northwest Arctic Borough, AK","02188","25-34","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Northwest Arctic Borough","Northwest Arctic Borough, AK","02188","35-44","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Northwest Arctic Borough","Northwest Arctic Borough, AK","02188","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Petersburg Census Area","Petersburg Census Area, AK","02195","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Petersburg Census Area","Petersburg Census Area, AK","02195","25-34","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Petersburg Census Area","Petersburg Census Area, AK","02195","35-44","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Petersburg Census Area","Petersburg Census Area, AK","02195","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Prince of Wales-Hyder Census Area","Prince of Wales-Hyder Census Area, AK","02198","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Prince of Wales-Hyder Census Area","Prince of Wales-Hyder Census Area, AK","02198","25-34","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Prince of Wales-Hyder Census Area","Prince of Wales-Hyder Census Area, AK","02198","35-44","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Prince of Wales-Hyder Census Area","Prince of Wales-Hyder Census Area, AK","02198","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Sitka City and Borough","Sitka City and Borough, AK","02220","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Sitka City and Borough","Sitka City and Borough, AK","02220","25-34","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Sitka City and Borough","Sitka City and Borough, AK","02220","35-44","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Sitka City and Borough","Sitka City and Borough, AK","02220","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Skagway Municipality","Skagway Municipality, AK","02230","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Skagway Municipality","Skagway Municipality, AK","02230","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Skagway Municipality","Skagway Municipality, AK","02230","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Skagway Municipality","Skagway Municipality, AK","02230","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Southeast Fairbanks Census Area","Southeast Fairbanks Census Area, AK","02240","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Southeast Fairbanks Census Area","Southeast Fairbanks Census Area, AK","02240","25-34","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Southeast Fairbanks Census Area","Southeast Fairbanks Census Area, AK","02240","35-44","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Southeast Fairbanks Census Area","Southeast Fairbanks Census Area, AK","02240","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Valdez-Cordova Census Area","Valdez-Cordova Census Area, AK","02261","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Valdez-Cordova Census Area","Valdez-Cordova Census Area, AK","02261","25-34","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Valdez-Cordova Census Area","Valdez-Cordova Census Area, AK","02261","35-44","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Valdez-Cordova Census Area","Valdez-Cordova Census Area, AK","02261","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Wrangell City and Borough","Wrangell City and Borough, AK","02275","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Wrangell City and Borough","Wrangell City and Borough, AK","02275","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Wrangell City and Borough","Wrangell City and Borough, AK","02275","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Wrangell City and Borough","Wrangell City and Borough, AK","02275","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Yakutat City and Borough","Yakutat City and Borough, AK","02282","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Yakutat City and Borough","Yakutat City and Borough, AK","02282","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Yakutat City and Borough","Yakutat City and Borough, AK","02282","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Yakutat City and Borough","Yakutat City and Borough, AK","02282","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","AK","Yukon-Koyukuk Census Area","Yukon-Koyukuk Census Area, AK","02290","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
