Indicator,Year,State,County,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV prevalence","2008","AK","Haines Borough","Haines Borough, AK","02100","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","1,042"
"HIV prevalence","2008","AK","Haines Borough","Haines Borough, AK","02100","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","984"
"HIV prevalence","2008","AK","Hoonah-Angoon Census Area","Hoonah-Angoon Census Area, AK","02105","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","1,046"
"HIV prevalence","2008","AK","Hoonah-Angoon Census Area","Hoonah-Angoon Census Area, AK","02105","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","853"
"HIV prevalence","2008","AK","Juneau City and Borough","Juneau City and Borough, AK","02110","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","13,266"
"HIV prevalence","2008","AK","Juneau City and Borough","Juneau City and Borough, AK","02110","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","12,789"
"HIV prevalence","2008","AK","Kenai Peninsula Borough","Kenai Peninsula Borough, AK","02122","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","23,615"
"HIV prevalence","2008","AK","Kenai Peninsula Borough","Kenai Peninsula Borough, AK","02122","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","21,259"
"HIV prevalence","2008","AK","Ketchikan Gateway Borough","Ketchikan Gateway Borough, AK","02130","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","5,591"
"HIV prevalence","2008","AK","Ketchikan Gateway Borough","Ketchikan Gateway Borough, AK","02130","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","5,270"
"HIV prevalence","2008","AK","Kodiak Island Borough","Kodiak Island Borough, AK","02150","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","5,683"
"HIV prevalence","2008","AK","Kodiak Island Borough","Kodiak Island Borough, AK","02150","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","4,758"
"HIV prevalence","2008","AK","Lake and Peninsula Borough","Lake and Peninsula Borough, AK","02164","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","627"
"HIV prevalence","2008","AK","Lake and Peninsula Borough","Lake and Peninsula Borough, AK","02164","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","574"
"HIV prevalence","2008","AK","Matanuska-Susitna Borough","Matanuska-Susitna Borough, AK","02170","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","36,036"
"HIV prevalence","2008","AK","Matanuska-Susitna Borough","Matanuska-Susitna Borough, AK","02170","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","32,952"
"HIV prevalence","2008","AK","Chugach Census Area","Chugach Census Area, AK","02063","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data not available","Data not available","NA"
"HIV prevalence","2008","AK","Chugach Census Area","Chugach Census Area, AK","02063","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data not available","Data not available","NA"
"HIV prevalence","2008","AK","Copper River Census Area","Copper River Census Area, AK","02066","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data not available","Data not available","NA"
"HIV prevalence","2008","AK","Copper River Census Area","Copper River Census Area, AK","02066","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data not available","Data not available","NA"
"HIV prevalence","2008","AK","Nome Census Area","Nome Census Area, AK","02180","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","3,857"
"HIV prevalence","2008","AK","Nome Census Area","Nome Census Area, AK","02180","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","3,272"
"HIV prevalence","2008","AK","North Slope Borough","North Slope Borough, AK","02185","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","2,672"
"HIV prevalence","2008","AK","North Slope Borough","North Slope Borough, AK","02185","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","2,339"
"HIV prevalence","2008","AK","Northwest Arctic Borough","Northwest Arctic Borough, AK","02188","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","2,986"
"HIV prevalence","2008","AK","Northwest Arctic Borough","Northwest Arctic Borough, AK","02188","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","2,558"
"HIV prevalence","2008","AK","Petersburg Census Area","Petersburg Census Area, AK","02195","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"HIV prevalence","2008","AK","Petersburg Census Area","Petersburg Census Area, AK","02195","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data not available","Data not available","NA"
"HIV prevalence","2008","AK","Prince of Wales-Hyder Census Area","Prince of Wales-Hyder Census Area, AK","02198","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","2,584"
"HIV prevalence","2008","AK","Prince of Wales-Hyder Census Area","Prince of Wales-Hyder Census Area, AK","02198","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","2,053"
"HIV prevalence","2008","AK","Sitka City and Borough","Sitka City and Borough, AK","02220","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","3,733"
"HIV prevalence","2008","AK","Sitka City and Borough","Sitka City and Borough, AK","02220","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","3,561"
"HIV prevalence","2008","AK","Skagway Municipality","Skagway Municipality, AK","02230","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","427"
"HIV prevalence","2008","AK","Skagway Municipality","Skagway Municipality, AK","02230","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","358"
"HIV prevalence","2008","AK","Southeast Fairbanks Census Area","Southeast Fairbanks Census Area, AK","02240","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","2,741"
"HIV prevalence","2008","AK","Southeast Fairbanks Census Area","Southeast Fairbanks Census Area, AK","02240","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","2,544"
"HIV prevalence","2008","AK","Valdez-Cordova Census Area","Valdez-Cordova Census Area, AK","02261","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","12,687"
"HIV prevalence","2008","AK","Valdez-Cordova Census Area","Valdez-Cordova Census Area, AK","02261","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","10,698"
"HIV prevalence","2008","AK","Wrangell City and Borough","Wrangell City and Borough, AK","02275","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","971"
"HIV prevalence","2008","AK","Wrangell City and Borough","Wrangell City and Borough, AK","02275","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","897"
"HIV prevalence","2008","AK","Yakutat City and Borough","Yakutat City and Borough, AK","02282","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","319"
"HIV prevalence","2008","AK","Yakutat City and Borough","Yakutat City and Borough, AK","02282","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","236"
"HIV prevalence","2008","AK","Yukon-Koyukuk Census Area","Yukon-Koyukuk Census Area, AK","02290","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","2,576"
"HIV prevalence","2008","AK","Yukon-Koyukuk Census Area","Yukon-Koyukuk Census Area, AK","02290","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","2,145"
"HIV prevalence","2008","AK","Kusilvak Census Area","Kusilvak Census Area, AK","02158","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","NA"
"HIV prevalence","2008","AK","Kusilvak Census Area","Kusilvak Census Area, AK","02158","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","NA"
"HIV prevalence","2008","AK","Denali Borough","Denali Borough, AK","02068","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","875"
"HIV prevalence","2008","AK","Denali Borough","Denali Borough, AK","02068","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","647"
"HIV prevalence","2008","AK","Dillingham Census Area","Dillingham Census Area, AK","02070","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","2,002"
"HIV prevalence","2008","AK","Dillingham Census Area","Dillingham Census Area, AK","02070","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","1,841"
"HIV prevalence","2008","AK","Fairbanks North Star Borough","Fairbanks North Star Borough, AK","02090","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","43,434"
"HIV prevalence","2008","AK","Fairbanks North Star Borough","Fairbanks North Star Borough, AK","02090","Ages 13 years and older","All races/ethnicities","Female","All transmission categories","Data suppressed","Data suppressed","36,406"
"HIV prevalence","2008","AK","Bristol Bay Borough","Bristol Bay Borough, AK","02060","Ages 13 years and older","All races/ethnicities","Male","All transmission categories","Data suppressed","Data suppressed","447"
